row,values
1,1.0165103419333335
2,17.06889150616667
3,30.73636324266667
4,44.629037248900005
5,58.19904043060001
6,71.41298996750001
7,85.17421926113335
8,98.55358830450001
9,112.18659403396667
10,126.1313123796
11,139.90840404396667
12,153.62176362253334
13,167.46752817303334
14,181.35995772653334
15,195.01296516723335
16,208.86940400490002
17,223.15088474100003
18,237.06737255883334
19,251.36872473193336
20,265.34311938133334
21,279.8833643173
22,294.3434219056
23,308.43038313430003
24,322.91904828733334
25,337.09777097113334
26,351.5641980426
27,365.3155435593667
28,379.4137693751667
29,394.06560660233333
30,408.73264177560003
31,423.7587079844
32,438.41101526100005
33,453.1841170240667
34,468.21470393420003
35,482.84241756286673
36,497.5848881212667
37,512.3900190402334
38,527.3111589468334
39,542.5790403953667
40,558.2250958567668
41,573.2932968304334
42,588.2971227335333
43,603.572193121
44,618.9002399546667
45,633.7986728203334
46,648.4411313028334
47,663.6253121592667
48,678.7203734389334
49,693.9957165358
50,709.6111527534667
51,724.4581060714667
52,739.5564914604333
53,755.3404598703333
54,770.2844705372668
55,785.7871650138667
56,801.3522552439334
57,816.564981394
58,831.9983225423667
59,847.3132481626001
60,863.2274338246001
61,878.7546546343334
62,894.6359695770001
63,909.3241103402
64,924.7475904321001
65,940.3582950875667
66,956.1875524313001
67,971.6453535023334
68,987.2580842892
69,1003.3554680906334
70,1019.2843108733334
71,1035.1829054465334
72,1051.2374166001334
73,1066.9789979171667
74,1082.8007064702667
75,1097.9254007751001
76,1113.9681843540002
77,1130.5126480366
78,1146.9165643633
79,1163.1740644126
80,1179.3430376044666
81,1195.0737473140334
82,1211.1298920683666
83,1226.9948979054334
84,1242.5860049858668
85,1258.7839991313335
86,1274.5486437371667
87,1290.8780693799001
88,1307.0095378500334
89,1322.8862476321
90,1338.5995441957
91,1354.4379621218334
92,1370.2510882368333
93,1385.8231354752334
94,1401.4299478524335
95,1416.7271051439334
96,1432.9662924965667
97,1448.2148625607667
98,1463.4846507505667
99,1478.8838681189668
100,1494.9404441545
101,1510.4395567613335
102,1525.7700250575667
103,1541.2874075833333
104,1556.8348547468333
105,1572.3956697180001
106,1587.9807641116668
107,1603.1612805822335
108,1618.9668377075334
109,1634.6577196911667
110,1650.7043104151
111,1666.9123342389669
112,1682.9295414332669
113,1698.6190211727335
114,1714.0417939321335
115,1730.1259408781002
116,1746.9155313908002
117,1762.8760897163334
118,1778.7615009522667
119,1794.5137061088667
120,1809.8282572987669
121,1825.2984274828334
122,1841.2761040606335
123,1856.8780038183334
124,1872.0490509731667
125,1888.0010026106668
126,1903.4431678359335
127,1919.3465848472335
128,1935.3019976651
129,1950.7660631254003
130,1966.5077924850668
131,1981.9829881945002
132,1997.1260604917668
133,2012.8623380493668
134,2028.5937767812334
135,2044.2592634796001
136,2059.9988823026333
137,2075.6445428409334
138,2090.4293212000334
139,2105.811423797567
140,2121.5141060089
141,2136.5730786158333
142,2152.1380729855
143,2167.9669431706666
144,2183.5803901595
145,2198.9374198011
146,2213.9787981279
147,2229.6033929905666
148,2244.8422850994334
149,2260.4534116608334
150,2276.2350214764333
151,2291.6291368288003
152,2307.3489685961335
153,2323.2481801543668
154,2338.829965744967
155,2354.4416344915003
156,2369.003013157867
157,2384.683386772967
158,2399.8966315730336
159,2415.3766358822004
160,2430.6857692122335
161,2446.006951433967
162,2460.4413998523
163,2475.5985655339
164,2490.0493101011
165,2505.0032903823667
166,2520.3260430069336
167,2535.4056128313
168,2550.5730795805002
169,2566.3716904538337
170,2581.320695164367
171,2596.561903039367
172,2611.814433077167
173,2627.048750007867
174,2642.0180263792004
175,2657.069669320867
176,2672.1892712172335
177,2687.3546018249003
178,2702.810037267367
179,2717.7470642146
180,2732.8179893701667
181,2747.7468301596336
182,2763.2003050098
183,2778.3375565332667
184,2794.0251203019
185,2809.1308732087
186,2824.0113439570337
187,2839.0990282912335
188,2854.603110089367
189,2869.1717695389334
190,2883.7239929998336
191,2898.4348416436337
192,2913.5971072924003
193,2928.9831581284
194,2944.4327058036333
195,2959.561273815467
196,2974.5731698506333
197,2989.7103792688335
198,3004.877984854367
199,3019.5445207944667
200,3034.240424305
201,3049.4200189654334
202,3064.0818291036003
203,3079.185542687867
204,3094.498094900867
205,3109.1357493006003
206,3124.365058430767
207,3139.247310288367
208,3154.293240246967
209,3168.9932527973333
210,3183.7854436193334
211,3198.655004121767
212,3213.439405975
213,3228.212567455967
214,3242.9360816983667
215,3257.7358651176337
216,3272.2758726925667
217,3287.2363272583
218,3301.505085872067
219,3316.4118098509334
220,3331.160547674867
221,3346.543753461967
222,3362.253281132167
223,3377.2140776838
224,3391.650634818067
225,3406.1235211527337
226,3420.677839786734
227,3435.1796346874003
228,3449.762790208967
229,3464.4427698111667
230,3479.978946024367
231,3495.228348995167
232,3510.1723980472334
233,3525.2896058935667
234,3539.695764453367
235,3554.331313321867
236,3569.4844471354336
237,3584.2894054702
238,3599.026544146267
239,3614.143843013
240,3628.940957477567
241,3643.5243271626005
242,3658.5605656145003
243,3672.9917232480334
244,3687.644494906167
245,3701.8893857472335
246,3717.0723410728338
247,3731.8477757427336
248,3746.379698525967
249,3761.2104660629334
250,3775.977022422
251,3790.923395643834
252,3805.7511152963
253,3820.7542005614337
254,3835.498392382467
255,3850.3552420025003
256,3865.435780695067
257,3880.184780515867
258,3894.9858301064005
259,3910.134352914767
260,3925.0018538292334
261,3939.732240400034
262,3954.5962726074667
263,3969.207287573067
264,3983.8022908299004
265,3998.641532803867
266,4013.859022396967
267,4028.8812162888003
268,4044.0808540372336
269,4058.5838263902
270,4073.581855420267
271,4088.1003001134004
272,4102.214772027767
273,4117.168075094767
274,4131.7999675152005
275,4146.311256987567
276,4161.4161018737
277,4176.467459089167
278,4190.935789052834
279,4205.896957727767
280,4220.700705981701
281,4235.648999353601
282,4250.336116683867
283,4264.540629449567
284,4278.971898819667
285,4294.002460132267
286,4308.402958784867
287,4323.1946911499
288,4337.553157524767
289,4352.315957655767
290,4366.5040143279
291,4381.185642236734
292,4395.833628215467
293,4410.197880136367
294,4424.932238611534
295,4439.4894208066335
296,4454.415688443733
297,4469.2752876512
298,4483.6272960602
299,4497.854743754933
300,4512.6766715058
301,4527.824560092067
302,4542.328938865067
303,4556.757181153734
304,4571.4351352384
305,4586.409007241434
306,4601.331308324967
307,4616.0052838125
308,4630.3499884453
309,4644.8397377763
310,4659.409861230401
311,4674.3651010119
312,4689.318064016767
313,4703.511928217167
314,4718.456494934234
315,4733.161591945667
316,4748.063824099633
317,4762.620654760867
318,4777.2149595369
319,4791.602775488667
320,4805.7032002378
321,4820.247821774367
322,4834.3008171816
323,4848.587810997434
324,4863.0384486752
325,4877.256347526067
326,4891.883030117134
327,4906.464021882167
328,4921.6668752295
329,4936.599041674001
330,4950.903684197334
331,4965.619691774334
332,4980.557791944167
333,4995.7904633336
334,5010.353465781267
335,5025.259859657201
336,5039.937478788201
337,5054.931477232034
338,5069.954738987167
339,5084.778667563401
340,5099.414919176367
341,5113.4848322168
342,5128.6850316473
343,5142.7819435702
344,5157.346770021034
345,5171.838919472134
346,5186.0483631802335
347,5200.160667803367
348,5214.923439952667
349,5229.579068621567
350,5243.7955687591
351,5258.2508360799
352,5272.8482254431
353,5288.066298759633
354,5302.7398889025335
355,5317.278091261767
356,5331.953565222134
357,5346.5453893241
358,5360.635971418001
359,5375.2851455134005
360,5389.848005903734
361,5404.4331627443335
362,5419.035854555267
363,5433.3870197245005
364,5447.429311074534
365,5461.6345064474335
366,5476.521173731967
367,5491.111294065767
368,5505.499400923401
369,5520.058596967067
370,5534.644062998567
371,5549.278275863034
372,5563.9403863727
373,5577.898522016434
374,5592.202181061667
375,5606.544225604767
376,5621.275208538667
377,5635.830675269333
378,5650.026367582033
379,5664.5499231755
380,5679.232075953467
381,5693.2380499016335
382,5707.572550362167
383,5722.143278100701
384,5736.3296295952005
385,5750.418546447234
386,5764.516115012901
387,5778.901356006067
388,5793.165639806533
389,5807.615859330167
390,5821.943831553001
391,5836.074940936301
392,5850.160070946034
393,5864.5671621827005
394,5879.646088192534
395,5894.4499599498
396,5908.599731744401
397,5923.387476156667
398,5938.2009889200335
399,5952.5897732655
400,5967.215966795867
401,5981.548630908734
402,5995.9503815772005
403,6010.0534068957
404,6024.504605851167
405,6038.831514674767
406,6053.0085330719
407,6067.123994758734
408,6081.602679098801
409,6096.4384887419
410,6111.652261406034
411,6126.076621845534
412,6140.4129986227335
413,6154.237611032067
414,6169.0518325339335
415,6183.484269799067
416,6197.434664916434
417,6212.084354857034
418,6226.698908495034
419,6240.9913713844335
420,6255.2307564219
421,6269.1466151977
422,6283.365591280701
423,6297.423986636267
424,6311.853920552434
425,6325.8149521682335
426,6340.697627715201
427,6354.569503126434
428,6368.844025138867
429,6383.307285143934
430,6397.383355502434
