tools (comparison order: row x column),M100-C000_CRA_B,M100-C100_CRA_B,M100-C010_CRA_B,M100-C010-R_CRA_B,M100-C020-R_CRA_B,M100-C030-R_CRA_B,M090-C010-R_CRA_B,M080-C010-R_CRA_B,M100-C020_CRA_B,M100-C040_CRA_B,M100-C060_CRA_B,M100-C040-R_CRA_B,M100-C060-R_CRA_B,M090-C020-R_CRA_B,M080-C020-R_CRA_B
M080-C010-R_CRA_B P Value,7.4385870796334075E-9,1.807087802707663E-5,4.005532572293191E-10,3.878719567751432E-11,2.8719471245608474E-11,2.8719471245608474E-11,0.7618283459354747,1.0,4.83886264390776E-10,4.4029946355550464E-10,1.1207914596411683E-9,2.8719471245608474E-11,2.8719471245608474E-11,0.5395103167994049,0.23984999119107975
M080-C010-R_CRA_B Cohen D,Large,Large,Large,Large,Large,Large,0.09605272197510734,0.0,Large,Large,Large,Large,Large,0.018285302780225863,Small
M080-C010-R_CRA_B Cliff's delta,-0.8688888888888889,0.6444444444444445,-0.94,-0.9933333333333333,-1.0,-1.0,0.04555555555555556,0.0,-0.9355555555555556,-0.9377777777777778,-0.9155555555555556,-1.0,-1.0,0.09222222222222222,-0.17666666666666667
M100-C020_CRA_B P Value,0.7562013389413471,3.175215645967455E-11,0.5945602565439675,0.02760325080301773,0.0010302154883709003,0.003939537655057612,5.84056913943698E-10,4.83886264390776E-10,1.0,0.7901470561745595,0.16914646155849122,4.1013072581952414E-4,4.846055678052741E-4,1.5370049677443376E-10,1.94330129765774E-9
M100-C020_CRA_B Cohen D,0.05539395429289605,Large,0.11444820829336755,Medium,Large,Large,Large,Large,0.0,0.07954831829528199,Small,Large,Large,Large,Large
M100-C020_CRA_B Cliff's delta,-0.04666666666666667,0.9977777777777778,0.08,-0.33111111111111113,-0.49333333333333335,-0.43333333333333335,0.9311111111111111,0.9355555555555556,0.0,0.04,0.20666666666666667,-0.5311111111111111,-0.5244444444444445,0.9622222222222222,0.9022222222222223
M100-C040_CRA_B P Value,0.5153597975802848,2.8719471245608474E-11,0.8360239504893114,0.010536525258653229,4.336778335062297E-4,0.0014059055114729047,9.313468884997178E-10,4.4029946355550464E-10,0.7901470561745595,1.0,0.38305504584585626,1.4493138277149598E-4,6.160445128156056E-5,1.3949730259810167E-10,3.3436436952527515E-9
M100-C040_CRA_B Cohen D,0.01231463042474783,Large,0.03248248011681442,Medium,Large,Large,Large,Large,0.07954831829528199,0.0,Small,Large,Large,Large,Large
M100-C040_CRA_B Cliff's delta,-0.09777777777777778,1.0,0.03111111111111111,-0.3844444444444444,-0.5288888888888889,-0.48,0.92,0.9377777777777778,-0.04,0.0,0.13111111111111112,-0.5711111111111111,-0.6022222222222222,0.9644444444444444,0.8888888888888888
M100-C060_CRA_B P Value,0.1515467907582635,3.5097591499777536E-11,0.45084580127351437,0.0010855630297854635,1.807087802707663E-5,1.210693825894893E-4,3.3436436952527515E-9,1.1207914596411683E-9,0.16914646155849122,0.38305504584585626,1.0,1.1284385347920534E-5,1.1284385347920534E-5,3.31288219079795E-10,9.673461587311749E-9
M100-C060_CRA_B Cohen D,0.19670784582539536,Large,0.19386632426638792,Large,Large,Large,Large,Large,Small,Small,0.0,Large,Large,Large,Large
M100-C060_CRA_B Cliff's delta,-0.21555555555555556,0.9955555555555555,-0.11333333333333333,-0.4911111111111111,-0.6444444444444445,-0.5777777777777777,0.8888888888888888,0.9155555555555556,-0.20666666666666667,-0.13111111111111112,0.0,-0.66,-0.66,0.9444444444444444,0.8622222222222222
M100-C040-R_CRA_B P Value,0.00412842501613131,2.8719471245608474E-11,9.49730301429419E-5,0.16016393690179054,0.9175733096128048,0.6151959787448549,2.8719471245608474E-11,2.8719471245608474E-11,4.1013072581952414E-4,1.4493138277149598E-4,1.1284385347920534E-5,1.0,0.7006856607005522,2.8719471245608474E-11,2.8719471245608474E-11
M100-C040-R_CRA_B Cohen D,Large,Large,Large,Small,0.06331281144174125,Small,Large,Large,Large,Large,Large,0.0,0.061799785737434026,Large,Large
M100-C040-R_CRA_B Cliff's delta,0.4311111111111111,1.0,0.5866666666666667,0.2111111111111111,-0.015555555555555555,0.07555555555555556,1.0,1.0,0.5311111111111111,0.5711111111111111,0.66,0.0,-0.057777777777777775,1.0,1.0
M100-C060-R_CRA_B P Value,0.0022105923164218444,2.8719471245608474E-11,1.1284385347920534E-5,0.0836699869171248,0.5843624220907104,0.35933426453934403,2.8719471245608474E-11,2.8719471245608474E-11,4.846055678052741E-4,6.160445128156056E-5,1.1284385347920534E-5,0.7006856607005522,1.0,2.8719471245608474E-11,2.8719471245608474E-11
M100-C060-R_CRA_B Cohen D,Large,Large,Large,Small,0.1170320991913036,Small,Large,Large,Large,Large,Large,0.061799785737434026,0.0,Large,Large
M100-C060-R_CRA_B Cliff's delta,0.46,1.0,0.66,0.26,0.08222222222222222,0.13777777777777778,1.0,1.0,0.5244444444444445,0.6022222222222222,0.66,0.057777777777777775,0.0,1.0,1.0
M090-C020-R_CRA_B P Value,1.618971068317876E-9,5.273482589496226E-6,9.444944826242363E-11,2.8719471245608474E-11,2.8719471245608474E-11,2.8719471245608474E-11,0.8187456534765798,0.5395103167994049,1.5370049677443376E-10,1.3949730259810167E-10,3.31288219079795E-10,2.8719471245608474E-11,2.8719471245608474E-11,1.0,0.0604328900798603
M090-C020-R_CRA_B Cohen D,Large,Large,Large,Large,Large,Large,0.12134840991827206,0.018285302780225863,Large,Large,Large,Large,Large,0.0,Medium
M090-C020-R_CRA_B Cliff's delta,-0.9066666666666666,0.6844444444444444,-0.9733333333333334,-1.0,-1.0,-1.0,-0.034444444444444444,-0.09222222222222222,-0.9622222222222222,-0.9644444444444444,-0.9444444444444444,-1.0,-1.0,0.0,-0.2822222222222222
M080-C020-R_CRA_B P Value,4.8848156963821054E-8,1.773927782444673E-9,2.128392351252728E-9,5.2283177787160184E-11,2.8719471245608474E-11,2.8719471245608474E-11,0.09479279235540516,0.23984999119107975,1.94330129765774E-9,3.3436436952527515E-9,9.673461587311749E-9,2.8719471245608474E-11,2.8719471245608474E-11,0.0604328900798603,1.0
M080-C020-R_CRA_B Cohen D,Large,Large,Large,Large,Large,Large,Small,Small,Large,Large,Large,Large,Large,Medium,0.0
M080-C020-R_CRA_B Cliff's delta,-0.82,0.9044444444444445,-0.9,-0.9866666666666667,-1.0,-1.0,0.2511111111111111,0.17666666666666667,-0.9022222222222223,-0.8888888888888888,-0.8622222222222222,-1.0,-1.0,0.2822222222222222,0.0
