algoVariants,problemModels,iterationsMean,iterationsMeanTime,hvMean,hvMedian,hvMax,hvMin,hvStdDev
M100-C040,CRA_B,290,"0,231","0,845","0,851","0,918","0,740","0,049"
M100-C060,CRA_B,343,"0,338","0,834","0,835","0,916","0,725","0,053"
M100-C040-R,CRA_B,321,"0,241","0,890","0,883","0,923","0,838","0,024"
M100-C060-R,CRA_B,326,"0,456","0,892","0,902","0,923","0,828","0,028"
M090-C020-R,CRA_B,206,"0,151","0,598","0,672","0,796","0,162","0,199"
M080-C020-R,CRA_B,193,"0,157","0,688","0,701","0,821","0,162","0,123"
M100-C000,CRA_C,514,"0,077","0,756","0,764","0,828","0,555","0,056"
M100-C100,CRA_C,288,"2,937","0,000","0,000","0,000","0,000","0,000"
M100-C010,CRA_C,523,"0,358","0,760","0,759","0,850","0,678","0,044"
M100-C010-R,CRA_C,516,"0,370","0,775","0,781","0,828","0,699","0,032"
M100-C020-R,CRA_C,521,"0,764","0,786","0,787","0,838","0,724","0,030"
M100-C030-R,CRA_C,563,"1,062","0,794","0,787","0,845","0,722","0,031"
M090-C010-R,CRA_C,434,"0,500","0,536","0,538","0,791","0,088","0,170"
M080-C010-R,CRA_C,454,"0,480","0,555","0,587","0,731","0,088","0,137"
M100-C020,CRA_C,528,"0,624","0,755","0,758","0,832","0,634","0,048"
M100-C040,CRA_C,540,"1,172","0,751","0,758","0,836","0,642","0,040"
M100-C060,CRA_C,596,"1,911","0,711","0,726","0,809","0,497","0,063"
M100-C040-R,CRA_C,576,"1,184","0,785","0,786","0,844","0,728","0,029"
M100-C060-R,CRA_C,629,"1,961","0,777","0,778","0,846","0,691","0,033"
M090-C020-R,CRA_C,530,"0,705","0,600","0,607","0,832","0,130","0,116"
M080-C020-R,CRA_C,488,"0,708","0,533","0,629","0,766","0,131","0,195"
M100-C000,CRA_D,713,"0,457","0,574","0,579","0,645","0,466","0,043"
M100-C100,CRA_D,293,"23,014","0,000","0,000","0,000","0,000","0,000"
M100-C010,CRA_D,817,"2,707","0,538","0,552","0,611","0,360","0,059"
M100-C010-R,CRA_D,865,"2,773","0,584","0,571","0,666","0,503","0,043"
M100-C020-R,CRA_D,914,"5,354","0,576","0,583","0,651","0,483","0,036"
M100-C030-R,CRA_D,956,"7,103","0,583","0,584","0,672","0,468","0,040"
M090-C010-R,CRA_D,972,"3,341","0,601","0,609","0,676","0,497","0,044"
M080-C010-R,CRA_D,1103,"2,965","0,483","0,499","0,653","0,046","0,106"
M100-C020,CRA_D,874,"4,712","0,545","0,550","0,590","0,450","0,036"
M100-C040,CRA_D,850,"9,318","0,448","0,467","0,600","0,159","0,108"
M100-C060,CRA_D,1017,"14,011","0,453","0,488","0,542","0,184","0,094"
M100-C040-R,CRA_D,1012,"9,829","0,563","0,563","0,614","0,528","0,022"
M100-C060-R,CRA_D,1044,"14,656","0,535","0,543","0,589","0,465","0,032"
M090-C020-R,CRA_D,964,"5,723","0,593","0,592","0,679","0,512","0,046"
M080-C020-R,CRA_D,1071,"5,666","0,505","0,526","0,631","0,272","0,089"
M100-C000,CRA_E,961,"2,895","0,595","0,585","0,673","0,516","0,044"
M100-C100,CRA_E,338,"126,838","0,000","0,000","0,000","0,000","0,000"
M100-C010,CRA_E,1020,"15,239","0,455","0,545","0,668","0,000","0,213"
M100-C010-R,CRA_E,1136,"16,231","0,608","0,604","0,675","0,560","0,030"
M100-C020-R,CRA_E,1158,"28,178","0,594","0,594","0,664","0,491","0,037"
M100-C030-R,CRA_E,1196,"38,837","0,578","0,572","0,634","0,525","0,029"
M090-C010-R,CRA_E,1004,"16,887","0,593","0,587","0,711","0,490","0,048"
M080-C010-R,CRA_E,1112,"16,840","0,617","0,623","0,691","0,521","0,049"
M100-C020,CRA_E,1085,"30,325","0,471","0,526","0,669","0,000","0,177"
M100-C040,CRA_E,1129,"53,653","0,323","0,417","0,614","0,000","0,225"
M100-C060,CRA_E,1285,"78,933","0,241","0,287","0,594","0,000","0,226"
M100-C040-R,CRA_E,1272,"55,991","0,565","0,565","0,631","0,474","0,044"
M100-C060-R,CRA_E,1430,"78,915","0,523","0,519","0,598","0,430","0,048"
M090-C020-R,CRA_E,1068,"30,067","0,590","0,588","0,707","0,511","0,046"
M080-C020-R,CRA_E,1102,"30,943","0,587","0,593","0,700","0,499","0,049"
